Indicator;Country;Description;Unit;Base Year;2015;2016;2017;2018;2019;2020;2021;2022
Tabel 3. Structure of GDP by Industry (%);;[O-U]  - Public administration and Other Services Activities;percent;-;14.06;14.04;14.02;14.01;14.02;15.06;15.04;15.00
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;-;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00
Tabel 3. Structure of GDP by Industry (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;-;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;-;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00
Tabel 3. Structure of GDP by Industry (%);Viet Nam;[A]  - Agriculture, forestry and fishing;percent;-;14.05;13.08;12.09;12.03;11.08;12.07;12.06;11.09
Tabel 3. Structure of GDP by Industry (%);;[B]  - Mining and quarrying;percent;-;04.03;03.03;03.03;03.05;03.00;02.04;02.04;02.08
Tabel 3. Structure of GDP by Industry (%);;[C]  - Manufacturing;percent;-;21.00;21.05;22.06;23.04;23.08;23.09;24.06.00;24.08.00
Tabel 3. Structure of GDP by Industry (%);;[D-E]  - Electricity and water supply;percent;-;03.06;03.08;03.09;04.00;04.02;04.04;04.05;04.05
Tabel 3. Structure of GDP by Industry (%);;[F]  - Construction;percent;-;05.04;05.05;05.06;05.07;05.09;06.00;06.00;06.02
Tabel 3. Structure of GDP by Industry (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;-;09.01;09.02;09.02;09.01;09.03;09.06;09.03;09.06
Tabel 3. Structure of GDP by Industry (%);;[H]  - Transportation and storage;percent;-;04.09;05.01;04.09;04.09;05.00;04.08;04.05;04.07
Tabel 3. Structure of GDP by Industry (%);;[I]  - Accommodation and food service activities;percent;-;02.09;02.09;02.09;02.09;02.09;02.03;01.07;02.03
Tabel 3. Structure of GDP by Industry (%);;[J]  - Information and communication;percent;-;03.09;03.09;03.08;03.07;03.07;03.06;03.06;03.05
Tabel 3. Structure of GDP by Industry (%);;[K]  - Financial and insurance activities;percent;-;04.05;04.05;04.04;04.04;04.04;04.04;04.07;04.08
Tabel 3. Structure of GDP by Industry (%);;[L-N]  - Real estate, Renting and Business Activities;percent;-;08.05;08.04;08.01;07.07;07.06;07.03;06.08;06.07
Tabel 3. Structure of GDP by Industry (%);;[O-U]  - Public administration and Other Services Activities;percent;-;08.04;08.08;09.03;09.04;09.05;09.08;10.05;09.08
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;-;90.09.00;90.08.00;90.09.00;91.00.00;91.01.00;91.02.00;91.02.00;91.05.00
Tabel 3. Structure of GDP by Industry (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;-;09.01;09.02;09.01;09.00;08.09;08.08;08.08;08.05
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;-;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00
Tabel 4. Growth Rate GDP by Industry  (%);Brunei Darussalam;[A]  - Agriculture, forestry and fishing;percent;2010;;-3.6;-1.6;-1.6;-1.4;14.04;16.09;-3.3
Tabel 4. Growth Rate GDP by Industry  (%);;[B]  - Mining and quarrying;percent;2010;;-3.6;-1.4;-0.9;03.09;-4.9;-3.0;-6.0
Tabel 4. Growth Rate GDP by Industry  (%);;[C]  - Manufacturing;percent;2010;;-0.7;09.00;-0.6;05.09;23.09;-6.7;-2.9
Tabel 4. Growth Rate GDP by Industry  (%);;[D-E]  - Electricity and water supply;percent;2010;;04.08;03.06;11.09;04.01;-2.2;03.01;00.02
Tabel 4. Growth Rate GDP by Industry  (%);;[F]  - Construction;percent;2010;;-6.6;09.03;06.00;-0.5;03.02;-5.6;-4.2
Tabel 4. Growth Rate GDP by Industry  (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;2010;;-3.5;00.07;02.03;07.03;02.08;04.03;03.05
Tabel 4. Growth Rate GDP by Industry  (%);;[H]  - Transportation and storage;percent;2010;;-10.7;05.06;-0.1;05.01;-17.3;-4.9;09.07
Tabel 4. Growth Rate GDP by Industry  (%);;[I]  - Accommodation and food service activities;percent;2010;;-1.6;03.03;03.08;07.02;-6.6;07.04;14.00
Tabel 4. Growth Rate GDP by Industry  (%);;[J]  - Information and communication;percent;2010;;-3.3;02.08;-1.3;02.06;13.04;04.00;02.07
Tabel 4. Growth Rate GDP by Industry  (%);;[K]  - Financial and insurance activities;percent;2010;;09.04;01.05;-6.7;07.02;-2.8;01.06;00.02
Tabel 4. Growth Rate GDP by Industry  (%);;[L-N]  - Real estate, Renting and Business Activities;percent;2010;;-1.9;01.06;02.02;-0.3;00.08;03.00;03.03
Tabel 4. Growth Rate GDP by Industry  (%);;[O-U]  - Public administration and Other Services Activities;percent;2010;;-3.0;00.01;02.05;02.03;-4.3;02.01;04.02
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;2010;;-2.5;01.03;00.01;03.09;01.01;-1.6;-1.6
Tabel 4. Growth Rate GDP by Industry  (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;2010;;-2.5;01.03;00.01;03.09;01.01;-1.6;-1.6
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;2010;;-2.5;01.03;00.01;03.09;01.01;-1.6;-1.6
Tabel 4. Growth Rate GDP by Industry  (%);Cambodia;[A]  - Agriculture, forestry and fishing;percent;2000;;01.03;01.07;01.01;-0.5;00.06;01.01;00.08
Tabel 4. Growth Rate GDP by Industry  (%);;[B]  - Mining and quarrying;percent;2000;;18.09;17.02;16.01;20.07;18.08;19.08;16.00
Tabel 4. Growth Rate GDP by Industry  (%);;[C]  - Manufacturing;percent;2000;;07.00;06.04;09.01;06.07;-2.7;11.04;11.01
Tabel 4. Growth Rate GDP by Industry  (%);;[D-E]  - Electricity and water supply;percent;2000;;08.07;08.06;08.05;08.04;-2.5;00.03;01.08
Tabel 4. Growth Rate GDP by Industry  (%);;[F]  - Construction;percent;2000;;20.06;18.00;17.05;20.08;-1.8;01.01;00.05
Tabel 4. Growth Rate GDP by Industry  (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;2000;;06.04;06.05;06.02;06.05;-5.4;01.06;04.07
Tabel 4. Growth Rate GDP by Industry  (%);;[H]  - Transportation and storage;percent;2000;;00.00;00.00;00.00;00.00;-8.6;-7.0;01.03
Tabel 4. Growth Rate GDP by Industry  (%);;[I]  - Accommodation and food service activities;percent;2000;;02.06;05.09;05.05;03.01;-32.2;-39.5;17.09
Tabel 4. Growth Rate GDP by Industry  (%);;[J]  - Information and communication;percent;2000;;14.09;14.04;13.06;13.06;01.05;06.02;01.07
Tabel 4. Growth Rate GDP by Industry  (%);;[K]  - Financial and insurance activities;percent;2000;;07.09;07.07;07.05;07.09;-1.2;01.03;01.02
Tabel 4. Growth Rate GDP by Industry  (%);;[L-N]  - Real estate, Renting and Business Activities;percent;2000;;09.09;08.07;08.05;07.00;-5.0;00.05;00.02
Tabel 4. Growth Rate GDP by Industry  (%);;[O-U]  - Public administration and Other Services Activities;percent;2000;;06.03;06.01;05.06;04.09;00.04;01.06;01.06
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;2000;;06.08;06.08;07.04;06.08;-3.1;02.08;04.08
Tabel 4. Growth Rate GDP by Industry  (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;2000;;07.04;11.02;09.01;07.01;-3.3;05.08;05.00
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;2000;;06.09;07.02;07.05;06.08;-3.1;03.00;04.08
Tabel 4. Growth Rate GDP by Industry  (%);Indonesia;[A]  - Agriculture, forestry and fishing;percent;2010;;03.04;03.09;03.09;03.06;01.08;01.09;02.03
Tabel 4. Growth Rate GDP by Industry  (%);;[B]  - Mining and quarrying;percent;2010;;00.09;00.07;02.02;01.02;-2.0;04.00;04.04
Tabel 4. Growth Rate GDP by Industry  (%);;[C]  - Manufacturing;percent;2010;;04.03;04.03;04.03;03.08;-2.9;03.04;04.09
Tabel 4. Growth Rate GDP by Industry  (%);;[D-E]  - Electricity and water supply;percent;2010;;05.03;01.08;05.05;04.02;-1.8;05.05;06.03
Tabel 4. Growth Rate GDP by Industry  (%);;[F]  - Construction;percent;2010;;05.02;06.08;06.01;05.08;-3.3;02.08;02.00
Tabel 4. Growth Rate GDP by Industry  (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;2010;;04.00;04.05;05.00;04.06;-3.8;04.06;05.05
Tabel 4. Growth Rate GDP by Industry  (%);;[H]  - Transportation and storage;percent;2010;;07.04;08.05;07.00;06.04;-15.1;03.02;19.09
Tabel 4. Growth Rate GDP by Industry  (%);;[I]  - Accommodation and food service activities;percent;2010;;05.02;05.04;05.07;05.08;-10.3;03.09;12.00
Tabel 4. Growth Rate GDP by Industry  (%);;[J]  - Information and communication;percent;2010;;08.09;09.06;07.00;09.04;10.06;06.08;07.07
Tabel 4. Growth Rate GDP by Industry  (%);;[K]  - Financial and insurance activities;percent;2010;;08.09;05.05;04.02;06.06;03.02;01.06;01.09
Tabel 4. Growth Rate GDP by Industry  (%);;[L-N]  - Real estate, Renting and Business Activities;percent;2010;;05.06;05.04;05.04;07.05;-0.7;02.00;04.03
Tabel 4. Growth Rate GDP by Industry  (%);;[O-U]  - Public administration and Other Services Activities;percent;2010;;04.05;04.04;06.08;06.08;01.05;01.07;03.02
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;2010;;04.06;04.08;04.09;05.00;-1.6;03.03;04.09
Tabel 4. Growth Rate GDP by Industry  (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;2010;;19.01;13.03;10.08;06.05;-13.1;15.01;13.08
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;2010;;05.00;05.01;05.02;05.00;-2.1;03.07;05.03
Tabel 4. Growth Rate GDP by Industry  (%);Lao PDR;[A]  - Agriculture, forestry and fishing;percent;2012;;02.08;02.09;01.03;01.02;01.02;02.05;03.04
Tabel 4. Growth Rate GDP by Industry  (%);;[B]  - Mining and quarrying;percent;2012;;04.01;-4.3;-6.5;-0.1;-16.7;01.06;02.08
Tabel 4. Growth Rate GDP by Industry  (%);;[C]  - Manufacturing;percent;2012;;03.01;04.04;06.02;06.07;12.09;03.00;04.07
Tabel 4. Growth Rate GDP by Industry  (%);;[D-E]  - Electricity and water supply;percent;2012;;37.07.00;31.06.00;11.05;-1.8;20.01;08.08;02.07
Tabel 4. Growth Rate GDP by Industry  (%);;[F]  - Construction;percent;2012;;08.04;18.00;22.06;21.00;14.05;08.02;07.02
Tabel 4. Growth Rate GDP by Industry  (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;2012;;06.06;07.02;10.07;08.03;01.03;01.06;04.01
Tabel 4. Growth Rate GDP by Industry  (%);;[H]  - Transportation and storage;percent;2012;;08.04;06.08;04.08;08.01;-2.9;00.05;28.08.00
Tabel 4. Growth Rate GDP by Industry  (%);;[I]  - Accommodation and food service activities;percent;2012;;-1.2;-4.8;07.07;08.00;-55.0;-25.4;08.06
Tabel 4. Growth Rate GDP by Industry  (%);;[J]  - Information and communication;percent;2012;;04.02;04.03;09.07;07.01;08.06;06.05;05.05
Tabel 4. Growth Rate GDP by Industry  (%);;[K]  - Financial and insurance activities;percent;2012;;07.08;09.06;09.08;08.03;01.02;03.00;03.04
Tabel 4. Growth Rate GDP by Industry  (%);;[L-N]  - Real estate, Renting and Business Activities;percent;2012;;04.03;03.04;05.02;08.00;02.07;01.03;03.06
Tabel 4. Growth Rate GDP by Industry  (%);;[O-U]  - Public administration and Other Services Activities;percent;2012;;03.02;02.07;02.00;02.09;04.08;02.09;04.00
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;2012;;06.09;06.08;06.03;05.04;03.03;03.05;04.05
Tabel 4. Growth Rate GDP by Industry  (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;2012;;07.08;07.00;06.02;05.05;03.00;03.01;03.09
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;2012;;07.00;06.09;06.03;05.05;03.03;03.05;04.04
Tabel 4. Growth Rate GDP by Industry  (%);Malaysia;[A]  - Agriculture, forestry and fishing;percent;2015;;-3.7;05.09;00.01;01.09;-2.4;-0.1;00.01
Tabel 4. Growth Rate GDP by Industry  (%);;[B]  - Mining and quarrying;percent;2015;;02.02;00.04;-2.2;-0.6;-9.7;00.09;02.06
Tabel 4. Growth Rate GDP by Industry  (%);;[C]  - Manufacturing;percent;2015;;04.04;06.00;05.00;03.08;-2.7;09.05;08.01
Tabel 4. Growth Rate GDP by Industry  (%);;[D-E]  - Electricity and water supply;percent;2015;;05.04;02.09;05.00;06.01;-1.0;02.08;03.04
Tabel 4. Growth Rate GDP by Industry  (%);;[F]  - Construction;percent;2015;;07.05;06.07;04.02;00.04;-19.3;-5.1;05.00
Tabel 4. Growth Rate GDP by Industry  (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;2015;;06.03;07.02;08.02;06.08;-5.8;02.00;13.05
Tabel 4. Growth Rate GDP by Industry  (%);;[H]  - Transportation and storage;percent;2015;;05.07;06.02;06.03;06.08;-21.5;01.04;30.08.00
Tabel 4. Growth Rate GDP by Industry  (%);;[I]  - Accommodation and food service activities;percent;2015;;07.02;07.05;09.00;09.05;-26.7;-10.4;33.00.00
Tabel 4. Growth Rate GDP by Industry  (%);;[J]  - Information and communication;percent;2015;;08.00;08.06;08.02;06.05;05.09;06.01;05.02
Tabel 4. Growth Rate GDP by Industry  (%);;[K]  - Financial and insurance activities;percent;2015;;02.07;04.07;05.04;04.08;02.09;10.01;00.08
Tabel 4. Growth Rate GDP by Industry  (%);;[L-N]  - Real estate, Renting and Business Activities;percent;2015;;06.09;07.06;07.08;07.09;-14.5;-9.7;22.07
Tabel 4. Growth Rate GDP by Industry  (%);;[O-U]  - Public administration and Other Services Activities;percent;2015;;04.09;05.00;05.00;04.02;-0.7;02.06;06.04
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;2015;;04.04;05.07;05.00;04.05;-5.5;03.03;08.07
Tabel 4. Growth Rate GDP by Industry  (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;2015;;08.09;13.00;-8.5;-2.2;-5.1;02.00;07.03
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;2015;;04.04;05.08;04.08;04.04;-5.5;03.03;08.07
Tabel 4. Growth Rate GDP by Industry  (%);Myanmar;[A]  - Agriculture, forestry and fishing;percent;2010/2011, 2015/2016;;03.04;-1.5;00.01;01.06;01.06;01.00;03.06
Tabel 4. Growth Rate GDP by Industry  (%);;[B]  - Mining and quarrying;percent;2010/2011, 2015/2016;;06.03;03.02;01.02;02.01;-2.6;-11.6;-8.8
Tabel 4. Growth Rate GDP by Industry  (%);;[C]  - Manufacturing;percent;2010/2011, 2015/2016;;09.03;09.08;09.09;09.07;04.08;-8.2;02.07
Tabel 4. Growth Rate GDP by Industry  (%);;[D-E]  - Electricity and water supply;percent;2010/2011, 2015/2016;;11.08;08.00;10.07;07.06;03.04;-5.8;-4.5
Tabel 4. Growth Rate GDP by Industry  (%);;[F]  - Construction;percent;2010/2011, 2015/2016;;06.06;09.07;08.01;08.07;05.01;-14.7;01.03
Tabel 4. Growth Rate GDP by Industry  (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;2010/2011, 2015/2016;;06.01;07.06;07.09;07.09;04.04;-5.3;02.09
Tabel 4. Growth Rate GDP by Industry  (%);;[H]  - Transportation and storage;percent;2010/2011, 2015/2016;;07.09;07.04;08.02;08.01;00.07;-11.8;06.04
Tabel 4. Growth Rate GDP by Industry  (%);;[I]  - Accommodation and food service activities;percent;2010/2011, 2015/2016;;11.07;09.08;12.03;12.00;06.03;-25.2;02.08
Tabel 4. Growth Rate GDP by Industry  (%);;[J]  - Information and communication;percent;2010/2011, 2015/2016;;25.03.00;13.02;14.03;12.00;10.00;03.05;02.03
Tabel 4. Growth Rate GDP by Industry  (%);;[K]  - Financial and insurance activities;percent;2010/2011, 2015/2016;;23.06;39.09.00;27.00.00;11.05;07.06;-4.4;05.07
Tabel 4. Growth Rate GDP by Industry  (%);;[L-N]  - Real estate, Renting and Business Activities;percent;2010/2011, 2015/2016;;11.07;05.08;05.02;04.05;00.03;-5.7;-20.8
Tabel 4. Growth Rate GDP by Industry  (%);;[O-U]  - Public administration and Other Services Activities;percent;2010/2011, 2015/2016;;07.08;08.02;09.02;08.05;02.06;-1.1;07.05
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;2010/2011, 2015/2016;;07.03;05.08;06.04;06.08;03.02;-5.9;02.08
Tabel 4. Growth Rate GDP by Industry  (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;2010/2011, 2015/2016;;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;2010/2011, 2015/2016;;07.03;05.08;06.04;06.08;03.02;-5.9;02.08
Tabel 4. Growth Rate GDP by Industry  (%);Philippines;[A]  - Agriculture, forestry and fishing;percent;2018;;-1.0;04.02;01.01;01.02;-0.2;-0.3;00.05
Tabel 4. Growth Rate GDP by Industry  (%);;[B]  - Mining and quarrying;percent;2018;;05.05;02.01;02.00;03.04;-18.6;05.01;05.03
Tabel 4. Growth Rate GDP by Industry  (%);;[C]  - Manufacturing;percent;2018;;06.08;08.00;05.01;03.08;-9.8;08.09;04.09
Tabel 4. Growth Rate GDP by Industry  (%);;[D-E]  - Electricity and water supply;percent;2018;;09.01;04.05;06.05;06.02;-0.4;04.05;05.01
Tabel 4. Growth Rate GDP by Industry  (%);;[F]  - Construction;percent;2018;;12.00;06.01;14.03;09.07;-25.5;10.01;12.01
Tabel 4. Growth Rate GDP by Industry  (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;2018;;07.01;06.09;05.09;07.08;-6.1;04.02;08.07
Tabel 4. Growth Rate GDP by Industry  (%);;[H]  - Transportation and storage;percent;2018;;10.03;07.03;07.07;06.04;-30.6;06.03;23.09
Tabel 4. Growth Rate GDP by Industry  (%);;[I]  - Accommodation and food service activities;percent;2018;;11.09;11.06;08.06;05.06;-45.5;07.02;32.01.00
Tabel 4. Growth Rate GDP by Industry  (%);;[J]  - Information and communication;percent;2018;;06.00;04.05;06.07;08.00;05.01;09.02;08.00
Tabel 4. Growth Rate GDP by Industry  (%);;[K]  - Financial and insurance activities;percent;2018;;08.08;08.04;08.04;11.09;05.06;04.08;07.01
Tabel 4. Growth Rate GDP by Industry  (%);;[L-N]  - Real estate, Renting and Business Activities;percent;2018;;09.06;08.00;04.06;03.01;-13.2;04.03;07.03
Tabel 4. Growth Rate GDP by Industry  (%);;[O-U]  - Public administration and Other Services Activities;percent;2018;;07.00;06.07;08.07;08.02;-9.8;07.01;07.08
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;2018;;07.01;06.09;06.03;06.01;-9.5;05.07;07.06
Tabel 4. Growth Rate GDP by Industry  (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;2018;;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;2018;;07.01;06.09;06.03;06.01;-9.5;05.07;07.06
Tabel 4. Growth Rate GDP by Industry  (%);Singapore;[A]  - Agriculture, forestry and fishing;percent;in chained, 2015;;-0.4;02.09;03.03;06.07;-4.3;11.04;-7.7
Tabel 4. Growth Rate GDP by Industry  (%);;[B]  - Mining and quarrying;percent;in chained, 2015;;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 4. Growth Rate GDP by Industry  (%);;[C]  - Manufacturing;percent;in chained, 2015;;03.07;10.04;07.00;-1.5;07.05;13.03;02.05
Tabel 4. Growth Rate GDP by Industry  (%);;[D-E]  - Electricity and water supply;percent;in chained, 2015;;01.06;-0.3;-0.7;01.01;-2.7;03.08;01.07
Tabel 4. Growth Rate GDP by Industry  (%);;[F]  - Construction;percent;in chained, 2015;;-0.8;-4.9;00.02;00.01;-42.1;20.05;06.07
Tabel 4. Growth Rate GDP by Industry  (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;in chained, 2015;;01.01;02.03;02.09;01.01;-2.2;09.08;03.05
Tabel 4. Growth Rate GDP by Industry  (%);;[H]  - Transportation and storage;percent;in chained, 2015;;03.01;05.02;01.00;00.01;-15.8;09.09;04.00
Tabel 4. Growth Rate GDP by Industry  (%);;[I]  - Accommodation and food service activities;percent;in chained, 2015;;03.05;00.09;03.04;-0.7;-24.6;-2.3;12.00
Tabel 4. Growth Rate GDP by Industry  (%);;[J]  - Information and communication;percent;in chained, 2015;;07.09;04.04;06.02;12.00;11.05;13.04;08.06
Tabel 4. Growth Rate GDP by Industry  (%);;[K]  - Financial and insurance activities;percent;in chained, 2015;;01.03;07.03;06.01;06.09;06.03;08.03;01.04
Tabel 4. Growth Rate GDP by Industry  (%);;[L-N]  - Real estate, Renting and Business Activities;percent;in chained, 2015;;04.06;02.05;02.09;-2.0;-9.7;02.00;06.09
Tabel 4. Growth Rate GDP by Industry  (%);;[O-U]  - Public administration and Other Services Activities;percent;in chained, 2015;;03.04;03.00;02.01;02.08;-8.5;05.05;05.02
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;in chained, 2015;;03.00;04.04;03.09;01.02;-3.2;08.07;04.02
Tabel 4. Growth Rate GDP by Industry  (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;in chained, 2015;;13.07;06.04;-1.3;02.09;-16.5;12.01;-5.3
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;in chained, 2015;;03.06;04.05;03.06;01.03;-3.9;08.09;03.06
Tabel 4. Growth Rate GDP by Industry  (%);Thailand;[A]  - Agriculture, forestry and fishing;percent;in chained, 2002;;-1.2;04.08;06.01;-1.0;-3.3;02.03;02.05
Tabel 4. Growth Rate GDP by Industry  (%);;[B]  - Mining and quarrying;percent;in chained, 2002;;00.08;-6.0;-2.9;01.07;-8.9;-5.4;-14.9
Tabel 4. Growth Rate GDP by Industry  (%);;[C]  - Manufacturing;percent;in chained, 2002;;02.03;02.09;03.05;-0.8;-5.5;04.09;00.04
Tabel 4. Growth Rate GDP by Industry  (%);;[D-E]  - Electricity and water supply;percent;in chained, 2002;;05.02;04.02;04.00;05.01;-3.7;02.04;02.09
Tabel 4. Growth Rate GDP by Industry  (%);;[F]  - Construction;percent;in chained, 2002;;08.00;-3.0;02.03;01.06;01.03;02.02;-2.7
Tabel 4. Growth Rate GDP by Industry  (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;in chained, 2002;;06.02;06.04;06.04;04.04;-3.1;01.06;03.01
Tabel 4. Growth Rate GDP by Industry  (%);;[H]  - Transportation and storage;percent;in chained, 2002;;05.03;08.00;03.09;02.07;-22.8;-2.7;07.01
Tabel 4. Growth Rate GDP by Industry  (%);;[I]  - Accommodation and food service activities;percent;in chained, 2002;;09.03;10.08;08.00;07.06;-37.5;-14.2;39.03.00
Tabel 4. Growth Rate GDP by Industry  (%);;[J]  - Information and communication;percent;in chained, 2002;;02.04;03.09;08.08;11.04;01.00;06.01;05.01
Tabel 4. Growth Rate GDP by Industry  (%);;[K]  - Financial and insurance activities;percent;in chained, 2002;;07.00;06.07;03.07;01.08;05.02;05.05;00.09
Tabel 4. Growth Rate GDP by Industry  (%);;[L-N]  - Real estate, Renting and Business Activities;percent;in chained, 2002;;02.01;05.04;03.09;02.06;-8.5;-2.9;01.06
Tabel 4. Growth Rate GDP by Industry  (%);;[O-U]  - Public administration and Other Services Activities;percent;in chained, 2002;;04.07;03.02;03.05;03.09;-2.0;00.04;01.04
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;in chained, 2002;;03.04;04.02;04.02;02.01;-6.1;01.05;02.06
Tabel 4. Growth Rate GDP by Industry  (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;in chained, 2002;;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;in chained, 2002;;03.04;04.02;04.02;02.01;-6.1;01.05;02.06
Tabel 4. Growth Rate GDP by Industry  (%);Viet Nam;[A]  - Agriculture, forestry and fishing;percent;2010;;01.07;03.02;04.01;02.07;03.00;03.03;03.04
Tabel 4. Growth Rate GDP by Industry  (%);;[B]  - Mining and quarrying;percent;2010;;-7.5;-8.4;-2.6;-0.7;-6.7;-7.8;05.02
Tabel 4. Growth Rate GDP by Industry  (%);;[C]  - Manufacturing;percent;2010;;11.01;12.01;11.05;09.06;05.00;06.01;08.01
Tabel 4. Growth Rate GDP by Industry  (%);;[D-E]  - Electricity and water supply;percent;2010;;11.00;09.02;08.01;08.08;06.05;05.04;07.01
Tabel 4. Growth Rate GDP by Industry  (%);;[F]  - Construction;percent;2010;;10.00;08.07;09.00;08.05;07.01;-0.3;08.02
Tabel 4. Growth Rate GDP by Industry  (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;2010;;08.00;08.01;08.03;09.08;05.08;00.05;10.02
Tabel 4. Growth Rate GDP by Industry  (%);;[H]  - Transportation and storage;percent;2010;;09.09;07.09;09.02;09.08;01.01;-3.1;11.09
Tabel 4. Growth Rate GDP by Industry  (%);;[I]  - Accommodation and food service activities;percent;2010;;06.03;08.09;07.02;09.00;-21.1;-20.2;40.06.00
Tabel 4. Growth Rate GDP by Industry  (%);;[J]  - Information and communication;percent;2010;;08.07;07.00;07.09;08.03;06.05;05.01;07.08
Tabel 4. Growth Rate GDP by Industry  (%);;[K]  - Financial and insurance activities;percent;2010;;07.09;07.09;08.02;09.00;07.05;09.05;09.00
Tabel 4. Growth Rate GDP by Industry  (%);;[L-N]  - Real estate, Renting and Business Activities;percent;2010;;05.06;05.06;06.02;05.09;-1.0;-1.0;09.08
Tabel 4. Growth Rate GDP by Industry  (%);;[O-U]  - Public administration and Other Services Activities;percent;2010;;06.08;06.02;06.01;06.02;03.09;07.03;04.04
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;2010;;06.07;07.00;07.06;07.04;03.01;02.06;08.03
Tabel 4. Growth Rate GDP by Industry  (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;2010;;06.02;06.03;06.02;06.07;00.09;02.03;05.07
Tabel 4. Growth Rate GDP by Industry  (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;2010;;06.07;06.09;07.05;07.04;02.09;02.06;08.00
