T09;Public expenditure on education (as of 2021);;;
662;Saint Lucia;2006;Public expenditure on education (% of GDP);4.7
662;Saint Lucia;2010;Basic access to computers by level of education: Primary;100.0
662;Saint Lucia;2010;Basic access to computers by level of education: Lower secondary;100
662;Saint Lucia;2010;Basic access to computers by level of education: Upper secondary;100
662;Saint Lucia;2010;Public expenditure on education (% of GDP);3.5
662;Saint Lucia;2015;Capital expenditure as % of total expenditure in public institutions (%);11.7
662;Saint Lucia;2015;Public expenditure on education (% of GDP);3.9
662;Saint Lucia;2018;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);10.1
662;Saint Lucia;2018;All staff compensation as % of total expenditure in public institutions (%);83.7
662;Saint Lucia;2018;Capital expenditure as % of total expenditure in public institutions (%);6.2
662;Saint Lucia;2018;Basic access to computers by level of education: Primary;100.0
662;Saint Lucia;2018;Basic access to computers by level of education: Lower secondary;100
662;Saint Lucia;2018;Basic access to computers by level of education: Upper secondary;100
662;Saint Lucia;2018;Public expenditure on education (% of GDP);3.3
662;Saint Lucia;2020;Basic access to computers by level of education: Primary;100.0
662;Saint Lucia;2020;Basic access to computers by level of education: Lower secondary;100
662;Saint Lucia;2020;Basic access to computers by level of education: Upper secondary;100
662;Saint Lucia;2020;Public expenditure on education (% of GDP);3.6
662;Saint Lucia;2022;Public expenditure on education (% of GDP);4.9
670;Saint Vincent & Grenadines;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);14.6
670;Saint Vincent & Grenadines;2005;All staff compensation as % of total expenditure in public institutions (%);51.9
670;Saint Vincent & Grenadines;2005;Capital expenditure as % of total expenditure in public institutions (%);33.6
670;Saint Vincent & Grenadines;2005;Public expenditure on education (% of GDP);6.0
670;Saint Vincent & Grenadines;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);5.6
670;Saint Vincent & Grenadines;2010;All staff compensation as % of total expenditure in public institutions (%);94.4
670;Saint Vincent & Grenadines;2010;Basic access to computers by level of education: Lower secondary;100
670;Saint Vincent & Grenadines;2010;Basic access to computers by level of education: Upper secondary;100
670;Saint Vincent & Grenadines;2010;Public expenditure on education (% of GDP);4.8
670;Saint Vincent & Grenadines;2015;Public expenditure on education (% of GDP);5.0
670;Saint Vincent & Grenadines;2018;Basic access to computers by level of education: Primary;100.0
670;Saint Vincent & Grenadines;2018;Basic access to computers by level of education: Lower secondary;96
670;Saint Vincent & Grenadines;2018;Basic access to computers by level of education: Upper secondary;96
670;Saint Vincent & Grenadines;2018;Public expenditure on education (% of GDP);5.2
670;Saint Vincent & Grenadines;2020;Public expenditure on education (% of GDP);6.6
882;Samoa;2002;Public expenditure on education (% of GDP);3.9
882;Samoa;2008;Public expenditure on education (% of GDP);5.1
882;Samoa;2015;Public expenditure on education (% of GDP);4.9
882;Samoa;2020;Basic access to computers by level of education: Upper secondary;100
882;Samoa;2020;Public expenditure on education (% of GDP);4.8
882;Samoa;2021;Basic access to computers by level of education: Primary;45.1
882;Samoa;2021;Basic access to computers by level of education: Lower secondary;45
882;Samoa;2021;Basic access to computers by level of education: Upper secondary;100
674;San Marino;2004;Public expenditure on education (% of GDP);2.8
674;San Marino;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);4.2
674;San Marino;2010;All staff compensation as % of total expenditure in public institutions (%);95.8
674;San Marino;2010;Public expenditure on education (% of GDP);2.6
674;San Marino;2011;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);5.0
674;San Marino;2011;All staff compensation as % of total expenditure in public institutions (%);95.0
674;San Marino;2011;Public expenditure on education (% of GDP);2.7
674;San Marino;2015;Public expenditure on education (% of GDP);3.4
674;San Marino;2020;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);8.7
674;San Marino;2020;All staff compensation as % of total expenditure in public institutions (%);90.7
674;San Marino;2020;Capital expenditure as % of total expenditure in public institutions (%);0.6
674;San Marino;2020;Basic access to computers by level of education: Primary;100.0
674;San Marino;2020;Basic access to computers by level of education: Lower secondary;100
674;San Marino;2020;Basic access to computers by level of education: Upper secondary;100
674;San Marino;2020;Public expenditure on education (% of GDP);3.4
674;San Marino;2021;Basic access to computers by level of education: Primary;100.0
674;San Marino;2021;Basic access to computers by level of education: Lower secondary;100
674;San Marino;2021;Basic access to computers by level of education: Upper secondary;100
678;Sao Tome and Principe;2005;Public expenditure on education (% of GDP);4.9
678;Sao Tome and Principe;2010;Public expenditure on education (% of GDP);9.7
678;Sao Tome and Principe;2015;Public expenditure on education (% of GDP);3.9
678;Sao Tome and Principe;2017;Basic access to computers by level of education: Primary;58.7
678;Sao Tome and Principe;2017;Basic access to computers by level of education: Lower secondary;90
678;Sao Tome and Principe;2017;Basic access to computers by level of education: Upper secondary;100
678;Sao Tome and Principe;2017;Public expenditure on education (% of GDP);5.0
678;Sao Tome and Principe;2021;Public expenditure on education (% of GDP);5.3
682;Saudi Arabia;2005;Public expenditure on education (% of GDP);5.4
682;Saudi Arabia;2008;Public expenditure on education (% of GDP);5.1
682;Saudi Arabia;2015;Basic access to computers by level of education: Primary;100.0
682;Saudi Arabia;2021;Basic access to computers by level of education: Primary;100.0
682;Saudi Arabia;2021;Basic access to computers by level of education: Lower secondary;100
682;Saudi Arabia;2021;Basic access to computers by level of education: Upper secondary;100
686;Senegal;2005;Public expenditure on education (% of GDP);4.1
686;Senegal;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);18.3
686;Senegal;2010;All staff compensation as % of total expenditure in public institutions (%);72.6
686;Senegal;2010;Capital expenditure as % of total expenditure in public institutions (%);9.1
686;Senegal;2010;Public expenditure on education (% of GDP);5.2
686;Senegal;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);23.6
686;Senegal;2015;All staff compensation as % of total expenditure in public institutions (%);61.7
686;Senegal;2015;Capital expenditure as % of total expenditure in public institutions (%);14.7
686;Senegal;2015;Public expenditure on education (% of GDP);5.5
686;Senegal;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);27.2
686;Senegal;2016;All staff compensation as % of total expenditure in public institutions (%);67.8
686;Senegal;2016;Capital expenditure as % of total expenditure in public institutions (%);5.0
686;Senegal;2016;Public expenditure on education (% of GDP);5.1
686;Senegal;2021;Basic access to computers by level of education: Primary;18.6
686;Senegal;2021;Basic access to computers by level of education: Lower secondary;83
686;Senegal;2021;Basic access to computers by level of education: Upper secondary;88
686;Senegal;2021;Public expenditure on education (% of GDP);5.6
688;Serbia;2009;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);21.1
688;Serbia;2009;All staff compensation as % of total expenditure in public institutions (%);76.2
688;Serbia;2009;Capital expenditure as % of total expenditure in public institutions (%);2.7
688;Serbia;2009;Public expenditure on education (% of GDP);4.5
688;Serbia;2010;Public expenditure on education (% of GDP);3.9
688;Serbia;2011;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);22.4
688;Serbia;2011;All staff compensation as % of total expenditure in public institutions (%);75.0
688;Serbia;2011;Capital expenditure as % of total expenditure in public institutions (%);2.6
688;Serbia;2011;Public expenditure on education (% of GDP);4.2
688;Serbia;2012;Public expenditure on education (% of GDP);3.8
688;Serbia;2015;Basic access to computers by level of education: Primary;27.1
688;Serbia;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.9
688;Serbia;2019;All staff compensation as % of total expenditure in public institutions (%);75.8
688;Serbia;2019;Capital expenditure as % of total expenditure in public institutions (%);3.2
688;Serbia;2019;Basic access to computers by level of education: Primary;27.0
688;Serbia;2019;Public expenditure on education (% of GDP);3.6
690;Seychelles;2003;Public expenditure on education (% of GDP);5.4
690;Seychelles;2006;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);29.8
690;Seychelles;2006;All staff compensation as % of total expenditure in public institutions (%);56.7
690;Seychelles;2006;Capital expenditure as % of total expenditure in public institutions (%);13.5
690;Seychelles;2006;Public expenditure on education (% of GDP);4.8
690;Seychelles;2010;Public expenditure on education (% of GDP);3.5
690;Seychelles;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);63.2
690;Seychelles;2015;All staff compensation as % of total expenditure in public institutions (%);32.8
690;Seychelles;2015;Capital expenditure as % of total expenditure in public institutions (%);3.9
690;Seychelles;2015;Public expenditure on education (% of GDP);5.0
690;Seychelles;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);64.5
690;Seychelles;2016;All staff compensation as % of total expenditure in public institutions (%);30.2
690;Seychelles;2016;Capital expenditure as % of total expenditure in public institutions (%);5.2
690;Seychelles;2016;Basic access to computers by level of education: Primary;100.0
690;Seychelles;2016;Basic access to computers by level of education: Lower secondary;100
690;Seychelles;2016;Basic access to computers by level of education: Upper secondary;100
690;Seychelles;2016;Public expenditure on education (% of GDP);4.2
690;Seychelles;2021;Basic access to computers by level of education: Primary;100.0
690;Seychelles;2021;Basic access to computers by level of education: Lower secondary;100
690;Seychelles;2021;Basic access to computers by level of education: Upper secondary;100
690;Seychelles;2021;Public expenditure on education (% of GDP);5.5
694;Sierra Leone;2005;Public expenditure on education (% of GDP);2.8
694;Sierra Leone;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);28.3
694;Sierra Leone;2010;All staff compensation as % of total expenditure in public institutions (%);69.1
694;Sierra Leone;2010;Capital expenditure as % of total expenditure in public institutions (%);2.5
694;Sierra Leone;2010;Public expenditure on education (% of GDP);2.8
694;Sierra Leone;2011;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);24.5
694;Sierra Leone;2011;All staff compensation as % of total expenditure in public institutions (%);74.3
694;Sierra Leone;2011;Capital expenditure as % of total expenditure in public institutions (%);1.2
694;Sierra Leone;2011;Public expenditure on education (% of GDP);2.3
694;Sierra Leone;2014;Capital expenditure as % of total expenditure in public institutions (%);0.5
694;Sierra Leone;2014;Public expenditure on education (% of GDP);2.9
694;Sierra Leone;2015;Public expenditure on education (% of GDP);3.2
694;Sierra Leone;2021;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);17.3
694;Sierra Leone;2021;All staff compensation as % of total expenditure in public institutions (%);59.9
694;Sierra Leone;2021;Capital expenditure as % of total expenditure in public institutions (%);22.8
694;Sierra Leone;2021;Basic access to computers by level of education: Primary;1.0
694;Sierra Leone;2021;Basic access to computers by level of education: Lower secondary;5
694;Sierra Leone;2021;Basic access to computers by level of education: Upper secondary;10
694;Sierra Leone;2021;Public expenditure on education (% of GDP);3.3
702;Singapore;2005;Public expenditure on education (% of GDP);3.2
702;Singapore;2010;Capital expenditure as % of total expenditure in public institutions (%);9.2
702;Singapore;2010;Public expenditure on education (% of GDP);3.1
702;Singapore;2013;Capital expenditure as % of total expenditure in public institutions (%);8.2
702;Singapore;2013;Public expenditure on education (% of GDP);2.9
702;Singapore;2015;Basic access to computers by level of education: Primary;81.3
702;Singapore;2015;Public expenditure on education (% of GDP);2.9
702;Singapore;2020;Basic access to computers by level of education: Primary;100.0
702;Singapore;2020;Basic access to computers by level of education: Lower secondary;100
702;Singapore;2020;Basic access to computers by level of education: Upper secondary;100
702;Singapore;2020;Public expenditure on education (% of GDP);2.7
702;Singapore;2022;Public expenditure on education (% of GDP);2.5
534;Sint Maarten (Dutch part);2010;Basic access to computers by level of education: Primary;100.0
534;Sint Maarten (Dutch part);2010;Basic access to computers by level of education: Lower secondary;100
534;Sint Maarten (Dutch part);2010;Basic access to computers by level of education: Upper secondary;100
703;Slovakia;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);34.1
703;Slovakia;2005;All staff compensation as % of total expenditure in public institutions (%);60.2
703;Slovakia;2005;Capital expenditure as % of total expenditure in public institutions (%);5.6
703;Slovakia;2005;Public expenditure on education (% of GDP);3.8
703;Slovakia;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);30.8
703;Slovakia;2010;All staff compensation as % of total expenditure in public institutions (%);57.0
703;Slovakia;2010;Capital expenditure as % of total expenditure in public institutions (%);12.2
703;Slovakia;2010;Public expenditure on education (% of GDP);4.0
703;Slovakia;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);32.0
703;Slovakia;2015;All staff compensation as % of total expenditure in public institutions (%);53.0
703;Slovakia;2015;Capital expenditure as % of total expenditure in public institutions (%);15.0
703;Slovakia;2015;Basic access to computers by level of education: Primary;58.4
703;Slovakia;2015;Basic access to computers by level of education: Upper secondary;90
703;Slovakia;2015;Public expenditure on education (% of GDP);4.6
703;Slovakia;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);30.6
703;Slovakia;2016;All staff compensation as % of total expenditure in public institutions (%);64.2
703;Slovakia;2016;Capital expenditure as % of total expenditure in public institutions (%);5.3
703;Slovakia;2016;Basic access to computers by level of education: Upper secondary;90
703;Slovakia;2016;Public expenditure on education (% of GDP);3.9
703;Slovakia;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);28.2
703;Slovakia;2019;All staff compensation as % of total expenditure in public institutions (%);65.7
703;Slovakia;2019;Capital expenditure as % of total expenditure in public institutions (%);6.2
703;Slovakia;2019;Basic access to computers by level of education: Primary;57.7
703;Slovakia;2019;Public expenditure on education (% of GDP);4.3
705;Slovenia;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.6
705;Slovenia;2005;All staff compensation as % of total expenditure in public institutions (%);69.4
705;Slovenia;2005;Capital expenditure as % of total expenditure in public institutions (%);10.0
705;Slovenia;2005;Basic access to computers by level of education: Primary;100.0
705;Slovenia;2005;Basic access to computers by level of education: Lower secondary;100
705;Slovenia;2005;Basic access to computers by level of education: Upper secondary;100
705;Slovenia;2005;Public expenditure on education (% of GDP);5.6
705;Slovenia;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);21.3
705;Slovenia;2010;All staff compensation as % of total expenditure in public institutions (%);70.0
705;Slovenia;2010;Capital expenditure as % of total expenditure in public institutions (%);8.7
705;Slovenia;2010;Basic access to computers by level of education: Primary;100.0
705;Slovenia;2010;Basic access to computers by level of education: Lower secondary;100
705;Slovenia;2010;Basic access to computers by level of education: Upper secondary;100
705;Slovenia;2010;Public expenditure on education (% of GDP);5.5
705;Slovenia;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);22.3
705;Slovenia;2015;All staff compensation as % of total expenditure in public institutions (%);69.6
705;Slovenia;2015;Capital expenditure as % of total expenditure in public institutions (%);8.2
705;Slovenia;2015;Basic access to computers by level of education: Primary;100.0
705;Slovenia;2015;Basic access to computers by level of education: Lower secondary;100
705;Slovenia;2015;Basic access to computers by level of education: Upper secondary;100
705;Slovenia;2015;Public expenditure on education (% of GDP);4.9
705;Slovenia;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.8
705;Slovenia;2016;All staff compensation as % of total expenditure in public institutions (%);66.5
705;Slovenia;2016;Capital expenditure as % of total expenditure in public institutions (%);12.8
705;Slovenia;2016;Basic access to computers by level of education: Primary;100.0
705;Slovenia;2016;Basic access to computers by level of education: Lower secondary;100
705;Slovenia;2016;Basic access to computers by level of education: Upper secondary;100
705;Slovenia;2016;Public expenditure on education (% of GDP);4.8
705;Slovenia;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.9
705;Slovenia;2019;All staff compensation as % of total expenditure in public institutions (%);72.0
705;Slovenia;2019;Capital expenditure as % of total expenditure in public institutions (%);7.0
705;Slovenia;2019;Public expenditure on education (% of GDP);4.9
90;Solomon Islands;2010;Public expenditure on education (% of GDP);7.5
90;Solomon Islands;2019;Basic access to computers by level of education: Primary;13.2
90;Solomon Islands;2019;Basic access to computers by level of education: Lower secondary;30
90;Solomon Islands;2019;Basic access to computers by level of education: Upper secondary;42
706;Somalia;2021;Public expenditure on education (% of GDP);0.0
710;South Africa;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.9
710;South Africa;2005;All staff compensation as % of total expenditure in public institutions (%);66.3
710;South Africa;2005;Capital expenditure as % of total expenditure in public institutions (%);2.9
710;South Africa;2005;Public expenditure on education (% of GDP);4.5
710;South Africa;2006;All staff compensation as % of total expenditure in public institutions (%);69.8
710;South Africa;2006;Capital expenditure as % of total expenditure in public institutions (%);3.5
710;South Africa;2006;Public expenditure on education (% of GDP);4.5
710;South Africa;2009;Capital expenditure as % of total expenditure in public institutions (%);3.8
710;South Africa;2009;Public expenditure on education (% of GDP);4.8
710;South Africa;2010;Public expenditure on education (% of GDP);5.1
710;South Africa;2014;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);29.5
710;South Africa;2014;All staff compensation as % of total expenditure in public institutions (%);67.2
710;South Africa;2014;Capital expenditure as % of total expenditure in public institutions (%);3.3
710;South Africa;2014;Public expenditure on education (% of GDP);5.5
710;South Africa;2015;Public expenditure on education (% of GDP);5.5
710;South Africa;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);25.2
710;South Africa;2019;All staff compensation as % of total expenditure in public institutions (%);70.6
710;South Africa;2019;Capital expenditure as % of total expenditure in public institutions (%);4.2
710;South Africa;2019;Basic access to computers by level of education: Primary;100.0
710;South Africa;2019;Public expenditure on education (% of GDP);5.9
710;South Africa;2021;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);26.8
710;South Africa;2021;All staff compensation as % of total expenditure in public institutions (%);69.7
710;South Africa;2021;Capital expenditure as % of total expenditure in public institutions (%);3.5
710;South Africa;2021;Public expenditure on education (% of GDP);6.6
710;South Africa;2022;Public expenditure on education (% of GDP);6.6
728;South Sudan;2014;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);34.6
728;South Sudan;2014;All staff compensation as % of total expenditure in public institutions (%);48.8
728;South Sudan;2014;Capital expenditure as % of total expenditure in public institutions (%);16.5
728;South Sudan;2014;Public expenditure on education (% of GDP);1.2
728;South Sudan;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);75.5
728;South Sudan;2015;All staff compensation as % of total expenditure in public institutions (%);24.5
728;South Sudan;2015;Public expenditure on education (% of GDP);1.5
728;South Sudan;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);6.5
728;South Sudan;2016;All staff compensation as % of total expenditure in public institutions (%);93.5
728;South Sudan;2016;Public expenditure on education (% of GDP);1.6
724;Spain;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);16.7
724;Spain;2005;All staff compensation as % of total expenditure in public institutions (%);73.5
724;Spain;2005;Capital expenditure as % of total expenditure in public institutions (%);9.8
724;Spain;2005;Basic access to computers by level of education: Primary;100.0
724;Spain;2005;Basic access to computers by level of education: Lower secondary;100
724;Spain;2005;Public expenditure on education (% of GDP);4.1
724;Spain;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);17.7
724;Spain;2010;All staff compensation as % of total expenditure in public institutions (%);71.6
724;Spain;2010;Capital expenditure as % of total expenditure in public institutions (%);10.8
724;Spain;2010;Basic access to computers by level of education: Primary;100.0
724;Spain;2010;Basic access to computers by level of education: Lower secondary;100
724;Spain;2010;Basic access to computers by level of education: Upper secondary;100
724;Spain;2010;Public expenditure on education (% of GDP);4.9
724;Spain;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);18.2
724;Spain;2015;All staff compensation as % of total expenditure in public institutions (%);76.5
724;Spain;2015;Capital expenditure as % of total expenditure in public institutions (%);5.3
724;Spain;2015;Basic access to computers by level of education: Primary;100.0
724;Spain;2015;Basic access to computers by level of education: Lower secondary;100
724;Spain;2015;Basic access to computers by level of education: Upper secondary;100
724;Spain;2015;Public expenditure on education (% of GDP);4.3
724;Spain;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);18.4
724;Spain;2019;All staff compensation as % of total expenditure in public institutions (%);76.3
724;Spain;2019;Capital expenditure as % of total expenditure in public institutions (%);5.3
724;Spain;2019;Basic access to computers by level of education: Primary;100.0
724;Spain;2019;Basic access to computers by level of education: Lower secondary;100
724;Spain;2019;Basic access to computers by level of education: Upper secondary;100
724;Spain;2019;Public expenditure on education (% of GDP);4.2
724;Spain;2021;Basic access to computers by level of education: Primary;100.0
724;Spain;2021;Basic access to computers by level of education: Lower secondary;100
724;Spain;2021;Basic access to computers by level of education: Upper secondary;100
144;Sri Lanka;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);9.9
144;Sri Lanka;2010;All staff compensation as % of total expenditure in public institutions (%);75.5
144;Sri Lanka;2010;Capital expenditure as % of total expenditure in public institutions (%);14.6
144;Sri Lanka;2010;Public expenditure on education (% of GDP);1.7
144;Sri Lanka;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);18.3
144;Sri Lanka;2015;All staff compensation as % of total expenditure in public institutions (%);62.4
144;Sri Lanka;2015;Capital expenditure as % of total expenditure in public institutions (%);19.3
144;Sri Lanka;2015;Public expenditure on education (% of GDP);2.1
144;Sri Lanka;2018;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);24.0
144;Sri Lanka;2018;All staff compensation as % of total expenditure in public institutions (%);50.7
144;Sri Lanka;2018;Capital expenditure as % of total expenditure in public institutions (%);25.3
144;Sri Lanka;2018;Basic access to computers by level of education: Primary;50.8
144;Sri Lanka;2018;Basic access to computers by level of education: Lower secondary;72
144;Sri Lanka;2018;Public expenditure on education (% of GDP);2.0
144;Sri Lanka;2019;Basic access to computers by level of education: Primary;56.3
144;Sri Lanka;2019;Basic access to computers by level of education: Lower secondary;77
144;Sri Lanka;2019;Basic access to computers by level of education: Upper secondary;80
275;State of Palestine;2010;Public expenditure on education (% of GDP);6.2
275;State of Palestine;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);11.3
275;State of Palestine;2015;All staff compensation as % of total expenditure in public institutions (%);85.2
275;State of Palestine;2015;Capital expenditure as % of total expenditure in public institutions (%);3.5
275;State of Palestine;2015;Public expenditure on education (% of GDP);4.7
275;State of Palestine;2021;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);4.9
275;State of Palestine;2021;All staff compensation as % of total expenditure in public institutions (%);92.9
275;State of Palestine;2021;Capital expenditure as % of total expenditure in public institutions (%);2.2
275;State of Palestine;2021;Basic access to computers by level of education: Primary;83.5
275;State of Palestine;2021;Basic access to computers by level of education: Lower secondary;95
275;State of Palestine;2021;Basic access to computers by level of education: Upper secondary;99
275;State of Palestine;2021;Public expenditure on education (% of GDP);5.5
275;State of Palestine;2022;Basic access to computers by level of education: Primary;87.4
275;State of Palestine;2022;Basic access to computers by level of education: Lower secondary;96
275;State of Palestine;2022;Basic access to computers by level of education: Upper secondary;98
729;Sudan;2005;Public expenditure on education (% of GDP);1.2
729;Sudan;2009;Public expenditure on education (% of GDP);2.0
729;Sudan;2016;Basic access to computers by level of education: Upper secondary;100
740;Suriname;2015;Public expenditure on education (% of GDP);5.5
740;Suriname;2021;Public expenditure on education (% of GDP);4.0
752;Sweden;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);28.4
752;Sweden;2005;All staff compensation as % of total expenditure in public institutions (%);65.0
752;Sweden;2005;Capital expenditure as % of total expenditure in public institutions (%);6.6
752;Sweden;2005;Public expenditure on education (% of GDP);6.5
752;Sweden;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);31.3
752;Sweden;2010;All staff compensation as % of total expenditure in public institutions (%);63.1
752;Sweden;2010;Capital expenditure as % of total expenditure in public institutions (%);5.6
752;Sweden;2010;Public expenditure on education (% of GDP);6.5
752;Sweden;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);29.6
752;Sweden;2015;All staff compensation as % of total expenditure in public institutions (%);65.3
752;Sweden;2015;Capital expenditure as % of total expenditure in public institutions (%);5.1
752;Sweden;2015;Basic access to computers by level of education: Primary;87.2
752;Sweden;2015;Public expenditure on education (% of GDP);7.4
752;Sweden;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);29.3
752;Sweden;2019;All staff compensation as % of total expenditure in public institutions (%);66.1
752;Sweden;2019;Capital expenditure as % of total expenditure in public institutions (%);4.6
752;Sweden;2019;Basic access to computers by level of education: Primary;96.9
752;Sweden;2019;Public expenditure on education (% of GDP);7.6
756;Switzerland;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);15.5
756;Switzerland;2005;All staff compensation as % of total expenditure in public institutions (%);75.3
756;Switzerland;2005;Capital expenditure as % of total expenditure in public institutions (%);9.1
756;Switzerland;2005;Public expenditure on education (% of GDP);5.1
756;Switzerland;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);16.2
756;Switzerland;2010;All staff compensation as % of total expenditure in public institutions (%);75.2
756;Switzerland;2010;Capital expenditure as % of total expenditure in public institutions (%);8.6
756;Switzerland;2010;Public expenditure on education (% of GDP);4.8
756;Switzerland;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);15.4
756;Switzerland;2015;All staff compensation as % of total expenditure in public institutions (%);74.3
756;Switzerland;2015;Capital expenditure as % of total expenditure in public institutions (%);10.2
756;Switzerland;2015;Basic access to computers by level of education: Primary;100.0
756;Switzerland;2015;Basic access to computers by level of education: Lower secondary;100
756;Switzerland;2015;Basic access to computers by level of education: Upper secondary;100
756;Switzerland;2015;Public expenditure on education (% of GDP);5.0
756;Switzerland;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);15.3
756;Switzerland;2016;All staff compensation as % of total expenditure in public institutions (%);74.1
756;Switzerland;2016;Capital expenditure as % of total expenditure in public institutions (%);10.6
756;Switzerland;2016;Basic access to computers by level of education: Primary;100.0
756;Switzerland;2016;Basic access to computers by level of education: Lower secondary;100
756;Switzerland;2016;Basic access to computers by level of education: Upper secondary;100
756;Switzerland;2016;Public expenditure on education (% of GDP);5.0
756;Switzerland;2019;Public expenditure on education (% of GDP);5.1
760;Syrian Arab Republic;2004;Public expenditure on education (% of GDP);5.4
760;Syrian Arab Republic;2009;Public expenditure on education (% of GDP);5.1
760;Syrian Arab Republic;2022;Basic access to computers by level of education: Primary;53.8
760;Syrian Arab Republic;2022;Basic access to computers by level of education: Lower secondary;53
760;Syrian Arab Republic;2022;Basic access to computers by level of education: Upper secondary;72
762;Tajikistan;2005;Public expenditure on education (% of GDP);3.5
762;Tajikistan;2010;Public expenditure on education (% of GDP);4.0
762;Tajikistan;2015;Capital expenditure as % of total expenditure in public institutions (%);14.0
762;Tajikistan;2015;Public expenditure on education (% of GDP);5.0
762;Tajikistan;2021;Public expenditure on education (% of GDP);5.7
764;Thailand;2005;Public expenditure on education (% of GDP);3.9
764;Thailand;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);45.8
764;Thailand;2010;All staff compensation as % of total expenditure in public institutions (%);50.9
764;Thailand;2010;Capital expenditure as % of total expenditure in public institutions (%);3.3
764;Thailand;2010;Public expenditure on education (% of GDP);3.5
764;Thailand;2011;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);54.5
764;Thailand;2011;All staff compensation as % of total expenditure in public institutions (%);39.5
764;Thailand;2011;Capital expenditure as % of total expenditure in public institutions (%);6.0
764;Thailand;2011;Basic access to computers by level of education: Primary;98.8
764;Thailand;2011;Basic access to computers by level of education: Lower secondary;100
764;Thailand;2011;Basic access to computers by level of education: Upper secondary;89
764;Thailand;2011;Public expenditure on education (% of GDP);4.8
764;Thailand;2014;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);31.8
764;Thailand;2014;All staff compensation as % of total expenditure in public institutions (%);62.5
764;Thailand;2014;Capital expenditure as % of total expenditure in public institutions (%);5.7
764;Thailand;2014;Public expenditure on education (% of GDP);3.9
764;Thailand;2015;Public expenditure on education (% of GDP);3.9
764;Thailand;2021;Basic access to computers by level of education: Primary;99.9
764;Thailand;2021;Basic access to computers by level of education: Lower secondary;100
764;Thailand;2021;Basic access to computers by level of education: Upper secondary;100
764;Thailand;2021;Public expenditure on education (% of GDP);3.0
764;Thailand;2022;Basic access to computers by level of education: Primary;99.9
764;Thailand;2022;Basic access to computers by level of education: Lower secondary;100
764;Thailand;2022;Basic access to computers by level of education: Upper secondary;100
