SYB66_329_202310_Labour Force and Unemployment;;;;;
T17;Labour force participation and unemployment;;;;
710;South Africa;2005;Unemployment rate - Male;17.8;
710;South Africa;2005;Labour force participation - Female;52.4;
710;South Africa;2005;Unemployment rate - Female;22.0;
710;South Africa;2010;Labour force participation - Total;54.2;
710;South Africa;2010;Unemployment rate - Total;23.2;
710;South Africa;2010;Labour force participation - Male;62.2;
710;South Africa;2010;Unemployment rate - Male;21.7;
710;South Africa;2010;Labour force participation - Female;47.0;
710;South Africa;2010;Unemployment rate - Female;24.9;
710;South Africa;2015;Labour force participation - Total;57.7;
710;South Africa;2015;Unemployment rate - Total;22.9;
710;South Africa;2015;Labour force participation - Male;65.0;
710;South Africa;2015;Unemployment rate - Male;21.2;
710;South Africa;2015;Labour force participation - Female;51.0;
710;South Africa;2015;Unemployment rate - Female;24.8;
710;South Africa;2023;Labour force participation - Total;58.0;
710;South Africa;2023;Unemployment rate - Total;29.9;
710;South Africa;2023;Labour force participation - Male;64.7;
710;South Africa;2023;Unemployment rate - Male;28.4;
710;South Africa;2023;Labour force participation - Female;51.9;
710;South Africa;2023;Unemployment rate - Female;31.7;
728;South Sudan;2005;Labour force participation - Total;71.3;
728;South Sudan;2005;Unemployment rate - Total;12.1;
728;South Sudan;2005;Labour force participation - Male;73.5;
728;South Sudan;2005;Unemployment rate - Male;11.1;
728;South Sudan;2005;Labour force participation - Female;69.4;
728;South Sudan;2005;Unemployment rate - Female;13.1;
728;South Sudan;2010;Labour force participation - Total;71.1;
728;South Sudan;2010;Unemployment rate - Total;12.1;
728;South Sudan;2010;Labour force participation - Male;72.8;
728;South Sudan;2010;Unemployment rate - Male;11.1;
728;South Sudan;2010;Labour force participation - Female;69.6;
728;South Sudan;2010;Unemployment rate - Female;13.1;
728;South Sudan;2015;Labour force participation - Total;70.8;
728;South Sudan;2015;Unemployment rate - Total;12.3;
728;South Sudan;2015;Labour force participation - Male;71.8;
728;South Sudan;2015;Unemployment rate - Male;11.3;
728;South Sudan;2015;Labour force participation - Female;69.9;
728;South Sudan;2015;Unemployment rate - Female;13.3;
728;South Sudan;2023;Labour force participation - Total;71.2;
728;South Sudan;2023;Unemployment rate - Total;12.7;
728;South Sudan;2023;Labour force participation - Male;71.2;
728;South Sudan;2023;Unemployment rate - Male;11.6;
728;South Sudan;2023;Labour force participation - Female;71.2;
728;South Sudan;2023;Unemployment rate - Female;13.8;
724;Spain;2005;Labour force participation - Total;56.8;
724;Spain;2005;Unemployment rate - Total;9.2;
724;Spain;2005;Labour force participation - Male;67.9;
724;Spain;2005;Unemployment rate - Male;7.1;
724;Spain;2005;Labour force participation - Female;46.1;
724;Spain;2005;Unemployment rate - Female;12.0;
724;Spain;2010;Labour force participation - Total;59.3;
724;Spain;2010;Unemployment rate - Total;19.9;
724;Spain;2010;Labour force participation - Male;67.2;
724;Spain;2010;Unemployment rate - Male;19.6;
724;Spain;2010;Labour force participation - Female;51.7;
724;Spain;2010;Unemployment rate - Female;20.2;
724;Spain;2015;Labour force participation - Total;58.5;
724;Spain;2015;Unemployment rate - Total;22.1;
724;Spain;2015;Labour force participation - Male;64.6;
724;Spain;2015;Unemployment rate - Male;20.8;
724;Spain;2015;Labour force participation - Female;52.6;
724;Spain;2015;Unemployment rate - Female;23.6;
724;Spain;2023;Labour force participation - Total;57.6;
724;Spain;2023;Unemployment rate - Total;13.9;
724;Spain;2023;Labour force participation - Male;62.9;
724;Spain;2023;Unemployment rate - Male;12.3;
724;Spain;2023;Labour force participation - Female;52.5;
724;Spain;2023;Unemployment rate - Female;15.7;
144;Sri Lanka;2005;Labour force participation - Total;54.4;
144;Sri Lanka;2005;Unemployment rate - Total;7.7;
144;Sri Lanka;2005;Labour force participation - Male;74.7;
144;Sri Lanka;2005;Unemployment rate - Male;5.6;
144;Sri Lanka;2005;Labour force participation - Female;35.1;
144;Sri Lanka;2005;Unemployment rate - Female;11.9;
144;Sri Lanka;2010;Labour force participation - Total;53.3;
144;Sri Lanka;2010;Unemployment rate - Total;4.8;
144;Sri Lanka;2010;Labour force participation - Male;74.2;
144;Sri Lanka;2010;Unemployment rate - Male;3.5;
144;Sri Lanka;2010;Labour force participation - Female;34.0;
144;Sri Lanka;2010;Unemployment rate - Female;7.5;
144;Sri Lanka;2015;Labour force participation - Total;53.7;
144;Sri Lanka;2015;Unemployment rate - Total;4.5;
144;Sri Lanka;2015;Labour force participation - Male;73.8;
144;Sri Lanka;2015;Unemployment rate - Male;3.0;
144;Sri Lanka;2015;Labour force participation - Female;35.4;
144;Sri Lanka;2015;Unemployment rate - Female;7.4;
144;Sri Lanka;2023;Labour force participation - Total;50.6;
144;Sri Lanka;2023;Unemployment rate - Total;7.2;
144;Sri Lanka;2023;Labour force participation - Male;70.3;
144;Sri Lanka;2023;Unemployment rate - Male;5.4;
144;Sri Lanka;2023;Labour force participation - Female;33.0;
144;Sri Lanka;2023;Unemployment rate - Female;10.5;
275;State of Palestine;2005;Labour force participation - Total;38.6;
275;State of Palestine;2005;Unemployment rate - Total;20.0;
275;State of Palestine;2005;Labour force participation - Male;65.1;
275;State of Palestine;2005;Unemployment rate - Male;20.7;
275;State of Palestine;2005;Labour force participation - Female;12.8;
275;State of Palestine;2005;Unemployment rate - Female;16.7;
275;State of Palestine;2010;Labour force participation - Total;40.0;
275;State of Palestine;2010;Unemployment rate - Total;21.4;
275;State of Palestine;2010;Labour force participation - Male;66.7;
275;State of Palestine;2010;Unemployment rate - Male;21.4;
275;State of Palestine;2010;Labour force participation - Female;14.1;
275;State of Palestine;2010;Unemployment rate - Female;21.6;
275;State of Palestine;2015;Labour force participation - Total;44.0;
275;State of Palestine;2015;Unemployment rate - Total;23.0;
275;State of Palestine;2015;Labour force participation - Male;70.8;
275;State of Palestine;2015;Unemployment rate - Male;20.1;
275;State of Palestine;2015;Labour force participation - Female;18.0;
275;State of Palestine;2015;Unemployment rate - Female;34.1;
275;State of Palestine;2023;Labour force participation - Total;45.0;
275;State of Palestine;2023;Unemployment rate - Total;25.6;
275;State of Palestine;2023;Labour force participation - Male;71.6;
275;State of Palestine;2023;Unemployment rate - Male;21.1;
275;State of Palestine;2023;Labour force participation - Female;19.2;
275;State of Palestine;2023;Unemployment rate - Female;42.0;
729;Sudan;2005;Labour force participation - Total;49.4;
729;Sudan;2005;Unemployment rate - Total;15.0;
729;Sudan;2005;Labour force participation - Male;70.5;
729;Sudan;2005;Unemployment rate - Male;13.1;
729;Sudan;2005;Labour force participation - Female;28.5;
729;Sudan;2005;Unemployment rate - Female;19.6;
729;Sudan;2010;Labour force participation - Total;49.2;
729;Sudan;2010;Unemployment rate - Total;15.1;
729;Sudan;2010;Labour force participation - Male;70.4;
729;Sudan;2010;Unemployment rate - Male;10.5;
729;Sudan;2010;Labour force participation - Female;28.3;
729;Sudan;2010;Unemployment rate - Female;26.4;
729;Sudan;2015;Labour force participation - Total;48.6;
729;Sudan;2015;Unemployment rate - Total;17.4;
729;Sudan;2015;Labour force participation - Male;69.3;
729;Sudan;2015;Unemployment rate - Male;12.5;
729;Sudan;2015;Labour force participation - Female;28.4;
729;Sudan;2015;Unemployment rate - Female;29.2;
729;Sudan;2023;Labour force participation - Total;48.8;
729;Sudan;2023;Unemployment rate - Total;18.5;
729;Sudan;2023;Labour force participation - Male;68.6;
729;Sudan;2023;Unemployment rate - Male;13.5;
729;Sudan;2023;Labour force participation - Female;29.5;
729;Sudan;2023;Unemployment rate - Female;29.9;
740;Suriname;2005;Labour force participation - Total;50.0;
740;Suriname;2005;Unemployment rate - Total;9.4;
740;Suriname;2005;Labour force participation - Male;62.8;
740;Suriname;2005;Unemployment rate - Male;6.1;
740;Suriname;2005;Labour force participation - Female;36.9;
740;Suriname;2005;Unemployment rate - Female;15.0;
740;Suriname;2010;Labour force participation - Total;52.8;
740;Suriname;2010;Unemployment rate - Total;7.2;
740;Suriname;2010;Labour force participation - Male;64.8;
740;Suriname;2010;Unemployment rate - Male;3.6;
740;Suriname;2010;Labour force participation - Female;40.7;
740;Suriname;2010;Unemployment rate - Female;12.8;
740;Suriname;2015;Labour force participation - Total;55.6;
740;Suriname;2015;Unemployment rate - Total;7.2;
740;Suriname;2015;Labour force participation - Male;66.8;
740;Suriname;2015;Unemployment rate - Male;4.4;
740;Suriname;2015;Labour force participation - Female;44.4;
740;Suriname;2015;Unemployment rate - Female;11.4;
740;Suriname;2023;Labour force participation - Total;55.7;
740;Suriname;2023;Unemployment rate - Total;8.2;
740;Suriname;2023;Labour force participation - Male;65.7;
740;Suriname;2023;Unemployment rate - Male;5.9;
740;Suriname;2023;Labour force participation - Female;46.0;
740;Suriname;2023;Unemployment rate - Female;11.5;
752;Sweden;2005;Labour force participation - Total;62.9;
752;Sweden;2005;Unemployment rate - Total;7.5;
752;Sweden;2005;Labour force participation - Male;67.1;
752;Sweden;2005;Unemployment rate - Male;7.6;
752;Sweden;2005;Labour force participation - Female;58.8;
752;Sweden;2005;Unemployment rate - Female;7.4;
752;Sweden;2010;Labour force participation - Total;63.2;
752;Sweden;2010;Unemployment rate - Total;8.6;
752;Sweden;2010;Labour force participation - Male;67.5;
752;Sweden;2010;Unemployment rate - Male;8.7;
752;Sweden;2010;Labour force participation - Female;59.0;
752;Sweden;2010;Unemployment rate - Female;8.5;
752;Sweden;2015;Labour force participation - Total;63.9;
752;Sweden;2015;Unemployment rate - Total;7.4;
752;Sweden;2015;Labour force participation - Male;67.3;
752;Sweden;2015;Unemployment rate - Male;7.6;
752;Sweden;2015;Labour force participation - Female;60.6;
752;Sweden;2015;Unemployment rate - Female;7.3;
752;Sweden;2023;Labour force participation - Total;64.6;
752;Sweden;2023;Unemployment rate - Total;7.5;
752;Sweden;2023;Labour force participation - Male;67.7;
752;Sweden;2023;Unemployment rate - Male;7.1;
752;Sweden;2023;Labour force participation - Female;61.5;
752;Sweden;2023;Unemployment rate - Female;7.9;
756;Switzerland;2005;Labour force participation - Total;67.0;
756;Switzerland;2005;Unemployment rate - Total;4.4;
756;Switzerland;2005;Labour force participation - Male;75.1;
756;Switzerland;2005;Unemployment rate - Male;3.9;
756;Switzerland;2005;Labour force participation - Female;59.3;
756;Switzerland;2005;Unemployment rate - Female;5.1;
756;Switzerland;2010;Labour force participation - Total;67.0;
756;Switzerland;2010;Unemployment rate - Total;4.8;
756;Switzerland;2010;Labour force participation - Male;74.3;
756;Switzerland;2010;Unemployment rate - Male;4.5;
756;Switzerland;2010;Labour force participation - Female;60.0;
756;Switzerland;2010;Unemployment rate - Female;5.2;
756;Switzerland;2015;Labour force participation - Total;68.1;
756;Switzerland;2015;Unemployment rate - Total;4.8;
756;Switzerland;2015;Labour force participation - Male;74.2;
756;Switzerland;2015;Unemployment rate - Male;4.7;
756;Switzerland;2015;Labour force participation - Female;62.3;
756;Switzerland;2015;Unemployment rate - Female;4.9;
756;Switzerland;2023;Labour force participation - Total;67.2;
756;Switzerland;2023;Unemployment rate - Total;4.2;
756;Switzerland;2023;Labour force participation - Male;72.3;
756;Switzerland;2023;Unemployment rate - Male;4.0;
756;Switzerland;2023;Labour force participation - Female;62.2;
756;Switzerland;2023;Unemployment rate - Female;4.5;
760;Syrian Arab Republic;2005;Labour force participation - Total;46.6;
760;Syrian Arab Republic;2005;Unemployment rate - Total;8.9;
760;Syrian Arab Republic;2005;Labour force participation - Male;76.4;
760;Syrian Arab Republic;2005;Unemployment rate - Male;6.0;
760;Syrian Arab Republic;2005;Labour force participation - Female;16.5;
760;Syrian Arab Republic;2005;Unemployment rate - Female;22.4;
760;Syrian Arab Republic;2010;Labour force participation - Total;42.7;
760;Syrian Arab Republic;2010;Unemployment rate - Total;8.6;
760;Syrian Arab Republic;2010;Labour force participation - Male;72.3;
760;Syrian Arab Republic;2010;Unemployment rate - Male;6.2;
760;Syrian Arab Republic;2010;Labour force participation - Female;13.0;
760;Syrian Arab Republic;2010;Unemployment rate - Female;22.0;
760;Syrian Arab Republic;2015;Labour force participation - Total;44.0;
760;Syrian Arab Republic;2015;Unemployment rate - Total;8.7;
760;Syrian Arab Republic;2015;Labour force participation - Male;72.5;
760;Syrian Arab Republic;2015;Unemployment rate - Male;6.1;
760;Syrian Arab Republic;2015;Labour force participation - Female;15.9;
760;Syrian Arab Republic;2015;Unemployment rate - Female;20.4;
760;Syrian Arab Republic;2023;Labour force participation - Total;44.6;
760;Syrian Arab Republic;2023;Unemployment rate - Total;9.5;
760;Syrian Arab Republic;2023;Labour force participation - Male;72.6;
760;Syrian Arab Republic;2023;Unemployment rate - Male;6.6;
760;Syrian Arab Republic;2023;Labour force participation - Female;17.1;
760;Syrian Arab Republic;2023;Unemployment rate - Female;21.3;
762;Tajikistan;2005;Labour force participation - Total;44.5;
762;Tajikistan;2005;Unemployment rate - Total;13.1;
762;Tajikistan;2005;Labour force participation - Male;58.6;
762;Tajikistan;2005;Unemployment rate - Male;13.8;
762;Tajikistan;2005;Labour force participation - Female;31.0;
762;Tajikistan;2005;Unemployment rate - Female;11.9;
762;Tajikistan;2010;Labour force participation - Total;42.5;
762;Tajikistan;2010;Unemployment rate - Total;10.9;
762;Tajikistan;2010;Labour force participation - Male;55.9;
762;Tajikistan;2010;Unemployment rate - Male;11.5;
762;Tajikistan;2010;Labour force participation - Female;29.4;
762;Tajikistan;2010;Unemployment rate - Female;9.7;
762;Tajikistan;2015;Labour force participation - Total;42.4;
762;Tajikistan;2015;Unemployment rate - Total;7.6;
762;Tajikistan;2015;Labour force participation - Male;53.1;
762;Tajikistan;2015;Unemployment rate - Male;8.4;
762;Tajikistan;2015;Labour force participation - Female;31.9;
762;Tajikistan;2015;Unemployment rate - Female;6.1;
762;Tajikistan;2023;Labour force participation - Total;40.9;
762;Tajikistan;2023;Unemployment rate - Total;8.4;
762;Tajikistan;2023;Labour force participation - Male;50.8;
762;Tajikistan;2023;Unemployment rate - Male;9.3;
762;Tajikistan;2023;Labour force participation - Female;31.1;
762;Tajikistan;2023;Unemployment rate - Female;6.9;
764;Thailand;2005;Labour force participation - Total;73.7;
764;Thailand;2005;Unemployment rate - Total;1.4;
764;Thailand;2005;Labour force participation - Male;81.5;
764;Thailand;2005;Unemployment rate - Male;1.5;
764;Thailand;2005;Labour force participation - Female;66.3;
764;Thailand;2005;Unemployment rate - Female;1.2;
764;Thailand;2010;Labour force participation - Total;71.6;
764;Thailand;2010;Unemployment rate - Total;0.6;
764;Thailand;2010;Labour force participation - Male;80.0;
764;Thailand;2010;Unemployment rate - Male;0.6;
764;Thailand;2010;Labour force participation - Female;63.7;
764;Thailand;2010;Unemployment rate - Female;0.6;
764;Thailand;2015;Labour force participation - Total;69.2;
764;Thailand;2015;Unemployment rate - Total;0.6;
764;Thailand;2015;Labour force participation - Male;77.9;
764;Thailand;2015;Unemployment rate - Male;0.6;
764;Thailand;2015;Labour force participation - Female;61.1;
764;Thailand;2015;Unemployment rate - Female;0.6;
764;Thailand;2023;Labour force participation - Total;65.6;
764;Thailand;2023;Unemployment rate - Total;0.8;
764;Thailand;2023;Labour force participation - Male;74.0;
764;Thailand;2023;Unemployment rate - Male;0.8;
764;Thailand;2023;Labour force participation - Female;57.9;
764;Thailand;2023;Unemployment rate - Female;0.8;
626;Timor-Leste;2005;Labour force participation - Total;69.0;
626;Timor-Leste;2005;Unemployment rate - Total;3.5;
626;Timor-Leste;2005;Labour force participation - Male;73.9;
626;Timor-Leste;2005;Unemployment rate - Male;2.9;
626;Timor-Leste;2005;Labour force participation - Female;63.9;
626;Timor-Leste;2005;Unemployment rate - Female;4.2;
626;Timor-Leste;2010;Labour force participation - Total;67.7;
626;Timor-Leste;2010;Unemployment rate - Total;3.3;
626;Timor-Leste;2010;Labour force participation - Male;73.1;
626;Timor-Leste;2010;Unemployment rate - Male;2.7;
626;Timor-Leste;2010;Labour force participation - Female;62.1;
626;Timor-Leste;2010;Unemployment rate - Female;4.0;
626;Timor-Leste;2015;Labour force participation - Total;67.1;
626;Timor-Leste;2015;Unemployment rate - Total;4.5;
626;Timor-Leste;2015;Labour force participation - Male;72.7;
626;Timor-Leste;2015;Unemployment rate - Male;3.2;
626;Timor-Leste;2015;Labour force participation - Female;61.5;
626;Timor-Leste;2015;Unemployment rate - Female;5.9;
626;Timor-Leste;2023;Labour force participation - Total;67.2;
626;Timor-Leste;2023;Unemployment rate - Total;4.8;
626;Timor-Leste;2023;Labour force participation - Male;72.5;
626;Timor-Leste;2023;Unemployment rate - Male;3.5;
626;Timor-Leste;2023;Labour force participation - Female;61.7;
626;Timor-Leste;2023;Unemployment rate - Female;6.4;
768;Togo;2005;Labour force participation - Total;58.5;
768;Togo;2005;Unemployment rate - Total;4.3;
768;Togo;2005;Labour force participation - Male;61.6;
768;Togo;2005;Unemployment rate - Male;4.3;
768;Togo;2005;Labour force participation - Female;55.3;
768;Togo;2005;Unemployment rate - Female;4.2;
768;Togo;2010;Labour force participation - Total;58.5;
768;Togo;2010;Unemployment rate - Total;2.4;
768;Togo;2010;Labour force participation - Male;61.6;
768;Togo;2010;Unemployment rate - Male;2.7;
768;Togo;2010;Labour force participation - Female;55.3;
768;Togo;2010;Unemployment rate - Female;2.1;
768;Togo;2015;Labour force participation - Total;58.2;
768;Togo;2015;Unemployment rate - Total;2.2;
768;Togo;2015;Labour force participation - Male;60.9;
768;Togo;2015;Unemployment rate - Male;2.7;
768;Togo;2015;Labour force participation - Female;55.6;
768;Togo;2015;Unemployment rate - Female;1.7;
768;Togo;2023;Labour force participation - Total;58.0;
768;Togo;2023;Unemployment rate - Total;4.0;
768;Togo;2023;Labour force participation - Male;59.6;
768;Togo;2023;Unemployment rate - Male;4.9;
768;Togo;2023;Labour force participation - Female;56.4;
768;Togo;2023;Unemployment rate - Female;3.1;
776;Tonga;2005;Labour force participation - Total;56.9;
776;Tonga;2005;Unemployment rate - Total;2.5;
776;Tonga;2005;Labour force participation - Male;70.1;
776;Tonga;2005;Unemployment rate - Male;1.8;
776;Tonga;2005;Labour force participation - Female;43.8;
776;Tonga;2005;Unemployment rate - Female;3.6;
776;Tonga;2010;Labour force participation - Total;55.7;
776;Tonga;2010;Unemployment rate - Total;1.5;
776;Tonga;2010;Labour force participation - Male;68.5;
776;Tonga;2010;Unemployment rate - Male;1.1;
776;Tonga;2010;Labour force participation - Female;43.3;
776;Tonga;2010;Unemployment rate - Female;2.1;
776;Tonga;2015;Labour force participation - Total;54.5;
776;Tonga;2015;Unemployment rate - Total;1.9;
776;Tonga;2015;Labour force participation - Male;66.8;
776;Tonga;2015;Unemployment rate - Male;1.4;
776;Tonga;2015;Labour force participation - Female;42.8;
776;Tonga;2015;Unemployment rate - Female;2.7;
776;Tonga;2023;Labour force participation - Total;53.4;
776;Tonga;2023;Unemployment rate - Total;2.9;
776;Tonga;2023;Labour force participation - Male;65.1;
776;Tonga;2023;Unemployment rate - Male;2.2;
776;Tonga;2023;Labour force participation - Female;42.4;
776;Tonga;2023;Unemployment rate - Female;4.0;
780;Trinidad and Tobago;2005;Labour force participation - Total;63.7;
780;Trinidad and Tobago;2005;Unemployment rate - Total;8.0;
780;Trinidad and Tobago;2005;Labour force participation - Male;75.4;
780;Trinidad and Tobago;2005;Unemployment rate - Male;5.8;
780;Trinidad and Tobago;2005;Labour force participation - Female;52.5;
780;Trinidad and Tobago;2005;Unemployment rate - Female;10.9;
780;Trinidad and Tobago;2010;Labour force participation - Total;60.9;
780;Trinidad and Tobago;2010;Unemployment rate - Total;4.0;
780;Trinidad and Tobago;2010;Labour force participation - Male;72.4;
780;Trinidad and Tobago;2010;Unemployment rate - Male;3.6;
780;Trinidad and Tobago;2010;Labour force participation - Female;49.8;
780;Trinidad and Tobago;2010;Unemployment rate - Female;4.7;
780;Trinidad and Tobago;2015;Labour force participation - Total;60.0;
780;Trinidad and Tobago;2015;Unemployment rate - Total;2.4;
780;Trinidad and Tobago;2015;Labour force participation - Male;70.9;
780;Trinidad and Tobago;2015;Unemployment rate - Male;2.1;
780;Trinidad and Tobago;2015;Labour force participation - Female;49.5;
780;Trinidad and Tobago;2015;Unemployment rate - Female;2.9;
780;Trinidad and Tobago;2023;Labour force participation - Total;54.8;
780;Trinidad and Tobago;2023;Unemployment rate - Total;3.7;
780;Trinidad and Tobago;2023;Labour force participation - Male;63.1;
780;Trinidad and Tobago;2023;Unemployment rate - Male;3.1;
780;Trinidad and Tobago;2023;Labour force participation - Female;46.9;
780;Trinidad and Tobago;2023;Unemployment rate - Female;4.4;
788;Tunisia;2005;Labour force participation - Total;45.5;
788;Tunisia;2005;Unemployment rate - Total;12.9;
788;Tunisia;2005;Labour force participation - Male;68.0;
788;Tunisia;2005;Unemployment rate - Male;12.1;
788;Tunisia;2005;Labour force participation - Female;23.7;
788;Tunisia;2005;Unemployment rate - Female;15.2;
788;Tunisia;2010;Labour force participation - Total;46.9;
788;Tunisia;2010;Unemployment rate - Total;13.1;
788;Tunisia;2010;Labour force participation - Male;69.6;
788;Tunisia;2010;Unemployment rate - Male;10.9;
788;Tunisia;2010;Labour force participation - Female;24.9;
788;Tunisia;2010;Unemployment rate - Female;18.9;
788;Tunisia;2015;Labour force participation - Total;47.1;
788;Tunisia;2015;Unemployment rate - Total;15.2;
788;Tunisia;2015;Labour force participation - Male;68.9;
788;Tunisia;2015;Unemployment rate - Male;12.4;
788;Tunisia;2015;Labour force participation - Female;26.1;
788;Tunisia;2015;Unemployment rate - Female;22.2;
788;Tunisia;2023;Labour force participation - Total;45.9;
788;Tunisia;2023;Unemployment rate - Total;16.1;
788;Tunisia;2023;Labour force participation - Male;66.5;
788;Tunisia;2023;Unemployment rate - Male;13.0;
788;Tunisia;2023;Labour force participation - Female;26.4;
788;Tunisia;2023;Unemployment rate - Female;23.7;
792;Türkiye;2005;Labour force participation - Total;46.4;
792;Türkiye;2005;Unemployment rate - Total;10.6;
792;Türkiye;2005;Labour force participation - Male;69.9;
792;Türkiye;2005;Unemployment rate - Male;10.5;
792;Türkiye;2005;Labour force participation - Female;23.1;
792;Türkiye;2005;Unemployment rate - Female;11.2;
792;Türkiye;2010;Labour force participation - Total;48.1;
792;Türkiye;2010;Unemployment rate - Total;10.7;
792;Türkiye;2010;Labour force participation - Male;69.5;
792;Türkiye;2010;Unemployment rate - Male;10.4;
792;Türkiye;2010;Labour force participation - Female;26.9;
792;Türkiye;2010;Unemployment rate - Female;11.4;
792;Türkiye;2015;Labour force participation - Total;51.2;
792;Türkiye;2015;Unemployment rate - Total;10.2;
792;Türkiye;2015;Labour force participation - Male;71.3;
792;Türkiye;2015;Unemployment rate - Male;9.2;
792;Türkiye;2015;Labour force participation - Female;31.3;
792;Türkiye;2015;Unemployment rate - Female;12.6;
792;Türkiye;2023;Labour force participation - Total;52.6;
792;Türkiye;2023;Unemployment rate - Total;9.9;
792;Türkiye;2023;Labour force participation - Male;71.1;
792;Türkiye;2023;Unemployment rate - Male;8.6;
792;Türkiye;2023;Labour force participation - Female;34.3;
792;Türkiye;2023;Unemployment rate - Female;12.5;
795;Turkmenistan;2005;Labour force participation - Total;51.9;
795;Turkmenistan;2005;Unemployment rate - Total;7.5;
795;Turkmenistan;2005;Labour force participation - Male;50.8;
795;Turkmenistan;2005;Unemployment rate - Male;10.7;
795;Turkmenistan;2005;Labour force participation - Female;53.0;
795;Turkmenistan;2005;Unemployment rate - Female;4.6;
795;Turkmenistan;2010;Labour force participation - Total;49.2;
795;Turkmenistan;2010;Unemployment rate - Total;4.0;
795;Turkmenistan;2010;Labour force participation - Male;48.2;
795;Turkmenistan;2010;Unemployment rate - Male;5.7;
795;Turkmenistan;2010;Labour force participation - Female;50.1;
795;Turkmenistan;2010;Unemployment rate - Female;2.5;
795;Turkmenistan;2015;Labour force participation - Total;47.4;
795;Turkmenistan;2015;Unemployment rate - Total;4.1;
795;Turkmenistan;2015;Labour force participation - Male;46.2;
795;Turkmenistan;2015;Unemployment rate - Male;5.7;
795;Turkmenistan;2015;Labour force participation - Female;48.4;
795;Turkmenistan;2015;Unemployment rate - Female;2.7;
795;Turkmenistan;2023;Labour force participation - Total;46.0;
795;Turkmenistan;2023;Unemployment rate - Total;5.5;
795;Turkmenistan;2023;Labour force participation - Male;44.7;
795;Turkmenistan;2023;Unemployment rate - Male;7.2;
795;Turkmenistan;2023;Labour force participation - Female;47.2;
795;Turkmenistan;2023;Unemployment rate - Female;3.9;
796;Turks and Caicos Islands;2005;Labour force participation - Total;62.0;
796;Turks and Caicos Islands;2008;Labour force participation - Total;64.0;
796;Turks and Caicos Islands;2008;Unemployment rate - Total;8.3;
800;Uganda;2005;Labour force participation - Total;69.9;
800;Uganda;2005;Unemployment rate - Total;1.9;
800;Uganda;2005;Labour force participation - Male;75.6;
800;Uganda;2005;Unemployment rate - Male;1.7;
800;Uganda;2005;Labour force participation - Female;64.5;
800;Uganda;2005;Unemployment rate - Female;2.1;
800;Uganda;2010;Labour force participation - Total;70.1;
800;Uganda;2010;Unemployment rate - Total;3.6;
800;Uganda;2010;Labour force participation - Male;75.0;
800;Uganda;2010;Unemployment rate - Male;3.0;
800;Uganda;2010;Labour force participation - Female;65.4;
800;Uganda;2010;Unemployment rate - Female;4.3;
800;Uganda;2015;Labour force participation - Total;70.2;
800;Uganda;2015;Unemployment rate - Total;2.7;
800;Uganda;2015;Labour force participation - Male;73.9;
800;Uganda;2015;Unemployment rate - Male;2.2;
800;Uganda;2015;Labour force participation - Female;66.7;
800;Uganda;2015;Unemployment rate - Female;3.3;
800;Uganda;2023;Labour force participation - Total;69.8;
800;Uganda;2023;Unemployment rate - Total;4.3;
800;Uganda;2023;Labour force participation - Male;72.0;
800;Uganda;2023;Unemployment rate - Male;3.7;
800;Uganda;2023;Labour force participation - Female;67.7;
800;Uganda;2023;Unemployment rate - Female;4.8;
804;Ukraine;2005;Labour force participation - Total;56.0;
804;Ukraine;2005;Unemployment rate - Total;7.2;
804;Ukraine;2005;Labour force participation - Male;60.1;
804;Ukraine;2005;Unemployment rate - Male;7.5;
804;Ukraine;2005;Labour force participation - Female;52.7;
804;Ukraine;2005;Unemployment rate - Female;6.8;
804;Ukraine;2010;Labour force participation - Total;56.3;
804;Ukraine;2010;Unemployment rate - Total;8.1;
804;Ukraine;2010;Labour force participation - Male;61.6;
804;Ukraine;2010;Unemployment rate - Male;9.4;
804;Ukraine;2010;Labour force participation - Female;51.9;
804;Ukraine;2010;Unemployment rate - Female;6.9;
804;Ukraine;2015;Labour force participation - Total;56.3;
804;Ukraine;2015;Unemployment rate - Total;9.1;
804;Ukraine;2015;Labour force participation - Male;63.4;
804;Ukraine;2015;Unemployment rate - Male;10.1;
804;Ukraine;2015;Labour force participation - Female;50.4;
804;Ukraine;2015;Unemployment rate - Female;8.1;
804;Ukraine;2021;Labour force participation - Total;54.6;
804;Ukraine;2021;Unemployment rate - Total;9.8;
804;Ukraine;2021;Labour force participation - Male;62.9;
804;Ukraine;2021;Unemployment rate - Male;9.5;
804;Ukraine;2021;Labour force participation - Female;47.8;
804;Ukraine;2021;Unemployment rate - Female;10.1;
784;United Arab Emirates;2005;Labour force participation - Total;77.0;
784;United Arab Emirates;2005;Unemployment rate - Total;3.1;
784;United Arab Emirates;2005;Labour force participation - Male;91.7;
784;United Arab Emirates;2005;Unemployment rate - Male;2.5;
784;United Arab Emirates;2005;Labour force participation - Female;37.5;
784;United Arab Emirates;2005;Unemployment rate - Female;7.1;
784;United Arab Emirates;2010;Labour force participation - Total;77.7;
784;United Arab Emirates;2010;Unemployment rate - Total;2.5;
784;United Arab Emirates;2010;Labour force participation - Male;89.0;
784;United Arab Emirates;2010;Unemployment rate - Male;1.9;
784;United Arab Emirates;2010;Labour force participation - Female;42.4;
